from,to,relation
BI,Ceballos,1
BI,Merino,1
BI,Vitolo,1
BI,Illarramendi,1
BI,Martinez,1
BI,Pedro,1
BI,Laguardia,1
BI,Garcia,1
BI,Guevara,1
BI,Adrian,1
Ceballos,Arsenal,3
Ceballos,BPL,2
Merino,Sociedad,3
Merino,BBVA,2
Vitolo,Atletico,3
Vitolo,BBVA,2
Illarramendi,Sociedad,3
Illarramendi,BBVA,2
Martinez,Bayern,3
Martinez,Bundesliga,2
Pedro,Chelsea,3
Pedro,BPL,2
Laguardia,Alaves,3
Laguardia,BBVA,2
Garcia,BBVA,2
Garcia,Bilbao,3
Guevara,BBVA,2
Guevara,Sociedad,3
Adrian,BPL,2
Adrian,Liverpool,3
Merino,Illarramendi,5
Illarramendi,Merino,5
Merino,Guevara,5
Guevara,Merino,5
Illarramendi,Guevara,5
Guevara,Illarramendi,5
Kroos,BBVA,2
Kroos,Real,3
Kroos,Deutschland,4
Upamecano,Bundesliga,2
Upamecano,RB,3
Reus,Bundesliga,2
Reus,BVB,3
Serdar,Schalke,3
Serdar,Bundesliga,2
Serdar,Deutschland,4
Serdar,Kroos,6
Kroos,Serdar,6
Waldschmidt,Bundesliga,2
Waldschmidt,Freiburg,3
Waldschmidt,Deutschland,4
Waldschmidt,Kroos,6
Kroos,Waldschmidt,6
Waldschmidt,Serdar,6
Serdar,Waldschmidt,6
Haidara,Bundesliga,2
Haidara,RB,3
Haidara,Mali,4
Haidara,Upamecano,5
Upamecano,Haidara,5
Max,Bundesliga,2
Max,Augsburg,3
Stark,Hertha,3
Stark,Bundesliga,2
Stark,Deutschland,4
Stark,Kroos,6
Stark,Serdar,6
Stark,Waldschmidt,6
Kroos,Stark,6
Serdar,Stark,6
Waldschmidt,Stark,6
Schaer,BPL,2
Schaer,Newcastle,3
Schaer,Schweiz,4
Mittelstaedt,Bundesliga,2
Mittelstaedt,Hertha,3
Mittelstaedt,Stark,5
Stark,Mittelstaedt,5
ST,Kroos,1
ST,Upamecano,1
ST,Reus,1
ST,Serdar,1
ST,Waldschmidt,1
ST,Haidara,1
ST,Max,1
ST,Stark,1
ST,Schaer,1
ST,Mittelstaedt,1
