ID,type,nation,age,value,position
BI,1,99,99,99,99
Ceballos,0,1,2,4,3
Merino,0,1,2,3,3
Vitolo,0,1,4,2,4
Illaramendi,0,1,4,2,3
Martinez,0,1,4,2,3
Pedro,0,1,4,1,4
Laguardia,0,1,4,1,2
Garcia,0,1,5,1,3
Guevara,0,1,2,1,3
Adrian,0,1,4,1,1
Melero,0,1,3,1,3
Navas,0,1,5,1,2
Monreal,0,1,5,1,2
Martin,0,1,2,1,1
Pina,0,1,4,1,3
Chumi,0,1,1,1,2
Rivera,0,1,2,1,3
Pier,0,1,2,1,2
Méndez,0,1,2,1,3
Camacho,0,1,4,1,3
BPL,1,99,99,99,99
BBVA1,1,99,99,99,99
BBVA2,1,99,99,99,99
Bundesliga,1,99,99,99,99
Arsenal,1,99,99,99,99
Sociedad,1,99,99,99,99
Atletico,1,99,99,99,99
Bayern,1,99,99,99,99
Alaves,1,99,99,99,99
Bilbao,1,99,99,99,99
Liverpool,1,99,99,99,99
Levante,1,99,99,99,99
Sevilla,1,99,99,99,99
Betis,1,99,99,99,99
Girona,1,99,99,99,99
Gijon,1,99,99,99,99
Wolfbsurg,1,99,99,99,99
Chelsea,1,99,99,99,99
