ID,type,nation,value,position,agency,age
BI,1,99,99,99,99,99
Ceballos,0,1,6,3,5,2
Merino,0,1,6,3,5,2
Vitolo,0,1,5,4,5,4
Illarramendi,0,1,4,3,5,4
Martinez_Javi,0,1,3,3,5,4
Pedro,0,1,3,4,5,4
Laguardia,0,1,3,2,5,4
Garcia,0,1,3,3,5,5
Guevara,0,1,3,3,5,2
Adrian,0,1,2,1,5,4
Martin,0,1,2,1,5,2
Melero,0,1,2,3,5,3
Navas,0,1,2,2,5,5
Monreal,0,1,2,2,5,5
Pina,0,1,2,3,5,4
Chumi,0,1,2,2,5,1
Rivera,0,1,2,3,5,2
Pier,0,1,2,2,5,2
Mendez,0,1,2,3,5,2
Bunuel,0,1,1,2,5,2
Betis_Sevilla,1,99,99,99,99,99
Levante,1,99,99,99,99,99
Sevilla_FC,1,99,99,99,99,99
Spanien,1,99,99,99,99,99
SDBGTres,1,99,99,99,99,99
Barcelona_B,1,99,99,99,99,99
SD,1,99,99,99,99,99
Palmas,1,99,99,99,99,99
Gijon,1,99,99,99,99,99
Santander,1,99,99,99,99,99
JM,0,99,99,99,99,99
Silva_Bernardo,0,7,9,2,1,3
Ronaldo,0,7,8,4,1,5
Ederson,0,8,8,1,1,3
Fabinho,0,8,8,2,1,3
Neves,0,7,7,3,1,2
Semedo,0,7,6,2,1,3
Cancelo,0,7,6,2,1,3
Dias,0,7,6,2,1,2
Di_Maria,0,9,6,4,1,4
Rodriguez,0,10,6,3,1,3
Pereira,0,7,6,2,1,3
Jota,0,7,5,4,1,2
Leao,0,7,5,4,1,1
Silva_Andre,0,7,5,4,1,2
Guedes,0,7,5,4,1,2
Pizzi,0,7,5,3,1,4
Vinicius,0,8,4,3,1,2
Sanches,0,7,4,3,1,2
Podence,0,7,4,4,1,2
Doherty,0,36,4,2,1,3
Portugal,1,99,99,99,99,99
Man_City,1,99,99,99,99,99
Serie_A,1,99,99,99,99,99
Juventus,1,99,99,99,99,99
Brasilien,1,99,99,99,99,99
Wolverhampton,1,99,99,99,99,99
Ligue_un,1,99,99,99,99,99
PSG,1,99,99,99,99,99
Mailand_AC,1,99,99,99,99,99
Benfica,1,99,99,99,99,99
NOS,1,99,99,99,99,99
Lille,1,99,99,99,99,99
BPL,1,99,99,99,99,99
BBVA,1,99,99,99,99,99
Bundesliga,1,99,99,99,99,99
Arsenal,1,99,99,99,99,99
Sociedad,1,99,99,99,99,99
Atletico,1,99,99,99,99,99
Bayern,1,99,99,99,99,99
Alaves,1,99,99,99,99,99
Bilbao,1,99,99,99,99,99
Liverpool,1,99,99,99,99,99
Chelsea,1,99,99,99,99,99
Kroos,0,2,7,3,4,4
Upamecano,0,4,8,2,4,1
Suele,0,2,7,2,4,2
Reus,0,2,5,3,4,4
Serdar,0,2,4,3,4,2
Waldschmidt,0,2,4,4,4,2
Haidara,0,5,4,3,4,2
Max,0,2,4,2,4,3
Schaer,0,3,4,2,4,3
Mittelstaedt,0,2,3,2,4,2
Wolf,0,6,3,3,4,1
Stark,0,2,3,2,4,2
Heintz,0,2,3,2,4,3
Richter,0,2,3,4,4,2
Uth,0,2,3,4,4,3
Da_Costa,0,2,3,2,4,3
Kohr,0,2,3,3,4,3
Knoche,0,2,3,2,4,3
Jakobs,0,2,2,4,4,1
Thommy,0,2,3,3,4,3
Real,1,99,99,99,99,99
Deutschland,1,99,99,99,99,99
RB_Leipzig,1,99,99,99,99,99
BVB,1,99,99,99,99,99
Schalke,1,99,99,99,99,99
Freiburg,1,99,99,99,99,99
Mali,1,99,99,99,99,99
Augsburg,1,99,99,99,99,99
Hertha,1,99,99,99,99,99
Newcastle,1,99,99,99,99,99
Schweiz,1,99,99,99,99,99
ST,1,99,99,99,99,99
Koeln,1,99,99,99,99,99
Frankfurt,1,99,99,99,99,99
Wolfsburg,1,99,99,99,99,99
Duesseldorf,1,99,99,99,99,99
PROP,1,99,99,99,99,99
Neuer,0,2,4,1,7,5
Herrmann,0,2,3,4,7,3
Rode,0,2,2,3,7,3
Mueller_Florian,0,2,2,1,7,2
Barreiro,0,23,2,3,7,1
Schindler,0,2,2,2,7,4
Baumgartlinger,0,6,2,3,7,4
Burkardt,0,2,2,4,7,1
Kiyotake,0,22,2,3,7,4
Haraguchi,0,22,2,3,7,3
Okazaki,0,22,2,4,7,5
Polter,0,2,2,4,7,3
Kanazaki,0,22,2,4,7,4
Ogihara,0,22,2,3,7,3
Hack,0,2,2,2,7,3
Leistner,0,2,2,2,7,4
Muroya,0,22,2,2,7,3
Blaswich,0,2,1,1,7,3
Jungwirth,0,2,1,2,7,4
Hasebe,0,22,1,3,7,5
Gladbach,1,99,99,99,99,99
Mainz,1,99,99,99,99,99
Huddersfield,1,99,99,99,99,99
CS,1,99,99,99,99,99
Leverkusen,1,99,99,99,99,99
Oesterreich,1,99,99,99,99,99
Cerezo_Osaka,1,99,99,99,99,99
J_One_League,1,99,99,99,99,99
Hannover,1,99,99,99,99,99
Zweite_Bundesliga,1,99,99,99,99,99
Huesca,1,99,99,99,99,99
Union,1,99,99,99,99,99
Nagoya,1,99,99,99,99,99
Yokohama_Marinos,1,99,99,99,99,99
FC_Tokyo,1,99,99,99,99,99
Japan,1,99,99,99,99,99
Heracles,1,99,99,99,99,99
Ere,1,99,99,99,99,99
Quakes,1,99,99,99,99,99
MLS,1,99,99,99,99,99
FF,1,99,99,99,99,99
Alexis_Sanchez,0,24,4,4,8,4
Pulgar,0,24,4,3,8,3
Aranguiz,0,24,4,3,8,4
Vidal,0,24,4,3,8,4
Vegas,0,24,2,2,8,2
Vargas,0,24,2,4,8,4
Baeza,0,24,2,3,8,3
Otero,0,25,2,4,8,3
Junior_Fernandes,0,24,2,4,8,4
Medel,0,24,2,3,8,4
Orellana,0,24,2,4,8,5
Gutierrez,0,24,2,3,8,4
Kuscevic,0,24,2,2,8,2
