ID,type,nation,age,value,position
BI,1,99,99,99,99
Ceballos,0,1,2,4,3
Merino,0,1,2,3,3
Vitolo,0,1,4,2,4
Illarramendi,0,1,4,2,3
Martinez,0,1,4,2,3
Pedro,0,1,4,1,4
Laguardia,0,1,4,1,2
Garcia,0,1,5,1,3
Guevara,0,1,2,1,3
Adrian,0,1,4,1,1
BPL,1,99,99,99,99
BBVA,1,99,99,99,99
Bundesliga,1,99,99,99,99
Arsenal,1,99,99,99,99
Sociedad,1,99,99,99,99
Atletico,1,99,99,99,99
Bayern,1,99,99,99,99
Alaves,1,99,99,99,99
Bilbao,1,99,99,99,99
Liverpool,1,99,99,99,99
Chelsea,1,99,99,99,99
Kroos,0,2,4,5,3
Upamecano,0,4,1,5,2
Reus,0,2,4,3,3
Serdar,0,2,2,2,3
Waldschmidt,0,2,2,2,4
Haidara,0,5,2,2,3
Max,0,2,3,2,2
Stark,0,2,2,2,2
Schaer,0,3,3,2,2
Mittelstaedt,0,2,2,2,2
Real,1,99,99,99,99
Deutschland,1,99,99,99,99
RB,1,99,99,99,99
BVB,1,99,99,99,99
Schalke,1,99,99,99,99
Freiburg,1,99,99,99,99
Mali,1,99,99,99,99
Augsburg,1,99,99,99,99
Hertha,1,99,99,99,99
Newcastle,1,99,99,99,99
Schweiz,4,99,99,99,99
ST,1,99,99,99,99
